level,group,genre,measure,n_months,spearman_trend,p,first_month_value,last_full_month_value
creator,@FoxNewsChannelClips,videos,F3_controlled,9,0.4,0.2861,-0.0041,0.193
creator,@FoxNewsChannelClips,videos,F4_controlled,9,-0.267,0.4879,-0.0503,-0.123
creator,@FoxNewsChannelClips,videos,F5_controlled,9,-0.75,0.0199,-0.1234,-0.4522
creator,@FoxNewsChannelClips,videos,F6_controlled,9,0.45,0.2242,-0.7734,-0.6776
creator,@FoxNewsChannelClips,videos,F7_controlled,9,0.35,0.3558,1.1354,1.5094
creator,@FoxNewsChannelClips,videos,F8_controlled,9,0.567,0.1116,-0.3212,-0.3395
creator,@FoxNewsChannelClips,videos,F9_controlled,9,-0.033,0.9322,0.1204,0.4197
creator,@FoxNewsChannelClips,videos,F10_controlled,9,-0.95,0.0001,1.8819,0.9717
creator,@FoxNewsChannelClips,videos,F11_controlled,9,0.217,0.5755,-0.0108,0.0251
creator,@FoxNewsChannelClips,videos,F12_controlled,9,-0.283,0.46,0.1592,-0.1631
creator,@FoxNewsChannelClips,videos,curiosity_gap,9,-0.083,0.8312,0.0122,0.0078
creator,@FoxNewsChannelClips,videos,outrage,9,-0.25,0.5165,0.4514,0.4062
creator,@FoxNewsChannelClips,videos,humor,9,-0.1,0.7971,0.0015,0.0031
creator,@LegalAFMTN,videos,F1_controlled,9,-0.767,0.0159,-0.364,-0.8607
creator,@LegalAFMTN,videos,F2_controlled,9,0.35,0.3558,-0.6917,-0.322
creator,@LegalAFMTN,videos,F3_controlled,9,0.85,0.0037,-0.248,-0.0748
creator,@LegalAFMTN,videos,F4_controlled,9,0.967,0.0,-0.0301,0.4958
